steam_id,user_name,team_clan_name,kills,headshots,wallbang_kills,assisted_flashes,no_scope,through_smoke,blind_kills,victim_blind_kills,assists,deaths,kd,total_rounds_won,t_rounds_won,ct_rounds_won,first_kills,CT_first_kills,T_first_kills,first_deaths,CT_first_deaths,T_first_deaths,flahes_thrown,CT_flahes_thrown,T_flahes_thrown,flahes_thrown_in_pistol_round,he_thrown,CT_he_thrown,T_he_thrown,he_thrown_in_pistol_round,infernos_thrown,CT_infernos_thrown,T_infernos_thrown,infernos_thrown_in_pistol_round,smokes_thrown,CT_smokes_thrown,T_smokes_thrown,smokes_thrown_in_pistol_round,util_in_pistol_round,total_util_thrown
76561197960690195,FalleN,FURIA,61,24,1,5,0,3,2,5,19,72,"0,847222222222",42,16,26,11,7,4,11,4,7,115,36,79,10,16,11,5,0,36,15,21,1,84,21,63,4,15,251
76561197961491680,tabseN,BIG,73,38,2,5,0,5,0,5,23,81,"0,901234567901",47,22,25,8,4,4,10,3,7,81,41,40,3,52,38,14,0,58,32,26,2,77,38,39,4,9,268
76561197967432889,MAJ3R,Eternal Fire,176,84,3,3,0,9,2,3,79,198,"0,888888888889",158,79,79,21,9,12,20,7,13,270,113,157,14,134,74,60,2,188,91,97,5,282,111,171,11,32,874
76561197973140692,mezii,Team Vitality,188,108,10,13,0,20,6,13,51,163,"1,153374233129",165,71,94,16,9,7,24,7,17,180,78,102,2,103,56,47,0,160,73,87,0,199,78,121,4,6,642
76561197977105184,jks,Team Liquid,98,48,2,5,0,7,1,5,37,93,"1,053763440860",76,37,39,7,4,3,13,9,4,93,38,55,1,40,35,5,0,75,40,35,0,89,43,46,0,1,297
76561197978835160,flameZ,Team Vitality,202,118,8,17,0,16,1,17,79,193,"1,046632124352",165,71,94,46,23,23,33,10,23,175,73,102,2,115,68,47,1,172,85,87,2,160,89,71,3,8,622
76561197982141573,Snax,G2 Esports,103,48,2,7,0,14,1,7,46,129,"0,798449612403",90,49,41,16,7,9,19,6,13,134,47,87,3,75,52,23,0,118,59,59,1,131,61,70,5,9,458
76561197983956651,Magisk,Team Falcons,66,39,1,4,0,3,3,4,26,76,"0,868421052632",45,20,25,8,5,3,9,4,5,48,18,30,3,43,29,14,1,46,21,25,1,73,37,36,2,7,210
76561197987713664,dev1ce,Astralis,94,35,2,4,0,9,2,4,30,98,"0,959183673469",57,24,33,14,10,4,9,4,5,82,20,62,6,48,35,13,0,60,28,32,2,84,35,49,2,10,274
76561197989430253,karrigan,FaZe Clan,159,72,5,8,0,14,4,8,56,196,"0,811224489796",132,67,65,19,11,8,36,15,21,228,79,149,7,103,73,30,1,192,105,87,6,208,95,113,5,19,731
76561197989744167,apEX,Team Vitality,175,89,15,7,0,16,2,7,84,176,"0,994318181818",165,71,94,31,18,13,14,4,10,216,68,148,10,138,87,51,3,161,68,93,3,163,79,84,4,20,678
76561197991272318,ropz,Team Vitality,208,116,6,6,0,10,0,6,60,157,"1,324840764331",165,71,94,29,13,16,28,18,10,101,32,69,3,137,58,79,0,128,45,83,0,171,71,100,2,5,537
76561197995817501,FL1T,Virtus.pro,129,66,2,8,0,16,3,8,47,135,"0,955555555556",91,45,46,23,15,8,19,11,8,96,47,49,0,105,72,33,1,133,67,66,1,116,64,52,1,3,450
76561197996678278,TeSeS,Team Falcons,63,41,1,1,0,6,1,1,23,78,"0,807692307692",45,20,25,9,5,4,13,8,5,54,21,33,1,23,21,2,1,50,26,24,1,61,24,37,3,6,188
76561197997351207,rain,FaZe Clan,197,112,3,13,0,22,3,13,61,197,"1,000000000000",132,67,65,29,16,13,40,14,26,159,62,97,5,129,80,49,2,172,94,78,2,198,97,101,4,13,658
76561198000827804,mir,Virtus.pro,21,11,2,1,0,3,0,1,8,34,"0,617647058824",91,45,46,5,4,1,3,0,3,9,8,1,0,13,7,6,0,20,9,11,0,6,3,3,0,0,48
76561198001151695,NAF,Team Liquid,98,40,3,2,0,13,0,2,37,93,"1,053763440860",76,37,39,18,7,11,9,5,4,83,26,57,1,84,45,39,0,94,45,49,1,104,51,53,4,6,365
76561198004115516,cadiaN,Astralis,83,30,2,0,0,8,0,0,24,103,"0,805825242718",57,24,33,18,9,9,15,11,4,113,42,71,4,58,36,22,0,73,30,43,1,121,52,69,2,7,365
76561198005107817,Staehr,Astralis,85,37,2,7,0,6,0,7,32,106,"0,801886792453",57,24,33,12,5,7,19,9,10,77,33,44,3,63,37,26,1,65,33,32,1,90,42,48,3,8,295
76561198012872053,huNter-,G2 Esports,122,51,2,11,0,13,1,11,46,135,"0,903703703704",90,49,41,15,11,4,12,6,6,177,64,113,5,81,64,17,2,109,57,52,1,132,55,77,5,13,499
76561198013243326,Aleksib,Natus Vincere,108,41,2,7,0,14,3,7,42,127,"0,850393700787",114,54,60,16,5,11,18,5,13,192,61,131,13,74,53,21,2,125,56,69,2,192,79,113,10,27,583
76561198014259134,FL4MUS,Virtus.pro,105,63,4,10,0,1,1,10,32,106,"0,990566037736",91,45,46,17,5,12,18,7,11,84,27,57,1,42,30,12,0,81,46,35,0,86,47,39,0,1,293
76561198016255205,Twistzz,Team Liquid,108,60,3,7,0,14,0,7,33,101,"1,069306930693",76,37,39,14,9,5,17,5,12,121,48,73,4,53,39,14,0,97,44,53,0,112,41,71,2,6,383
76561198022365638,stavn,Astralis,97,39,2,8,0,13,0,8,36,108,"0,898148148148",57,24,33,12,9,3,16,8,8,70,32,38,0,75,47,28,2,66,30,36,0,82,44,38,2,4,293
76561198031890115,Lucky,3DMAX,116,57,3,4,0,14,1,4,43,107,"1,084112149533",87,38,49,14,5,9,13,7,6,83,25,58,3,109,48,61,0,118,47,71,4,77,37,40,1,8,387
76561198034172415,REZ,GamerLegion,139,81,4,6,0,12,2,6,53,138,"1,007246376812",90,44,46,19,10,9,27,11,16,87,39,48,3,63,33,30,0,87,44,43,0,110,55,55,4,7,347
76561198041683378,NiKo,Team Falcons,79,42,1,5,0,4,0,5,20,78,"1,012820512821",45,20,25,11,5,6,15,5,10,51,26,25,0,55,37,18,0,57,23,34,0,74,43,31,0,0,237
76561198044045107,electronic,Virtus.pro,104,52,3,7,0,9,3,7,60,160,"0,650000000000",91,45,46,17,9,8,33,12,21,194,70,124,11,47,41,6,0,100,38,62,1,155,67,88,10,22,496
76561198044118796,XANTARES,Eternal Fire,243,138,3,13,0,18,3,13,73,203,"1,197044334975",158,79,79,58,27,31,42,21,21,120,60,60,0,146,94,52,0,160,71,89,1,144,85,59,0,1,570
76561198045739761,Maka,3DMAX,123,47,7,5,1,7,3,5,35,110,"1,118181818182",87,38,49,19,13,6,13,7,6,191,69,122,5,68,27,41,0,110,39,71,1,158,45,113,5,11,527
76561198045898864,chopper,Team Spirit,214,121,2,10,0,25,3,10,82,259,"0,826254826255",201,109,92,38,25,13,53,22,31,300,123,177,26,127,111,16,2,223,121,102,3,352,149,203,18,49,1002
76561198047876970,Djoko,3DMAX,91,47,0,6,0,12,3,6,36,128,"0,710937500000",87,38,49,20,10,10,25,9,16,101,44,57,0,87,43,44,0,92,43,49,1,100,54,46,0,1,380
76561198050250233,iM,Natus Vincere,148,70,3,9,0,15,0,9,47,130,"1,138461538462",114,54,60,26,16,10,29,8,21,148,68,80,6,68,42,26,2,104,49,55,1,122,61,61,0,9,442
76561198053126645,NertZ,Team Liquid,126,70,4,10,0,8,2,10,37,108,"1,166666666667",76,37,39,29,13,16,22,9,13,86,42,44,2,50,33,17,0,76,34,42,0,78,35,43,0,2,290
76561198055109028,ICY,Virtus.pro,135,29,3,2,2,9,2,2,36,120,"1,125000000000",91,45,46,16,10,6,14,5,9,147,46,101,3,30,26,4,0,54,24,30,0,117,49,68,3,6,348
76561198057282432,kyxsan,Team Falcons,48,26,0,6,0,3,0,6,19,71,"0,676056338028",45,20,25,8,3,5,10,4,6,66,18,48,9,41,25,16,0,55,26,29,1,80,31,49,3,13,242
76561198058500492,KSCERATO,FURIA,66,38,2,5,0,5,0,5,22,68,"0,970588235294",42,16,26,3,1,2,12,6,6,74,34,40,6,65,34,31,3,76,32,44,2,83,39,44,5,16,298
76561198066693739,EliGE,FaZe Clan,188,93,4,15,0,22,3,15,61,207,"0,908212560386",132,67,65,34,18,16,39,17,22,133,79,54,1,119,77,42,0,164,85,79,0,148,91,57,1,2,564
76561198067763828,chelo,FURIA,42,26,1,2,0,5,0,2,25,77,"0,545454545455",42,16,26,6,4,2,21,7,14,64,21,43,0,31,21,10,0,51,25,26,0,60,26,34,2,2,206
76561198068002993,HeavyGoD,G2 Esports,131,75,7,5,0,13,0,5,37,129,"1,015503875969",90,49,41,18,12,6,19,6,13,108,57,51,2,69,49,20,3,96,55,41,2,126,72,54,2,9,399
76561198068422762,frozen,FaZe Clan,206,97,9,7,0,20,1,7,72,181,"1,138121546961",132,67,65,21,14,7,26,16,10,142,60,82,2,144,66,78,0,121,50,71,0,177,74,103,6,8,584
76561198074762801,m0NESY,G2 Esports,135,56,3,8,0,10,2,8,32,122,"1,106557377049",90,49,41,19,15,4,22,12,10,114,36,78,0,54,38,16,0,92,56,36,0,127,56,71,1,1,387
76561198078771373,JDC,BIG,73,33,2,7,0,7,2,7,22,85,"0,858823529412",47,22,25,19,6,13,12,7,5,49,29,20,2,65,39,26,1,61,31,30,0,55,25,30,2,5,230
76561198080114546,fame,Virtus.pro,127,81,4,9,0,10,1,9,42,137,"0,927007299270",91,45,46,15,8,7,21,12,9,104,58,46,3,41,25,16,0,101,47,54,0,151,75,76,2,5,397
76561198080703143,malbsMd,G2 Esports,127,78,2,12,0,18,0,12,45,148,"0,858108108108",90,49,41,25,12,13,26,10,16,101,56,45,4,103,69,34,0,120,70,50,0,102,60,42,1,5,426
76561198081484775,sh1ro,Team Spirit,257,82,8,4,0,18,3,4,79,214,"1,200934579439",201,109,92,32,21,11,15,10,5,213,78,135,5,90,73,17,2,153,72,81,2,222,115,107,5,14,678
76561198081484775,SH1R0,Team Spirit,257,82,8,4,0,18,3,4,79,214,"1,200934579439",201,109,92,32,21,11,15,10,5,213,78,135,5,90,73,17,2,153,72,81,2,222,115,107,5,14,678
76561198083485506,woxic,Eternal Fire,223,64,9,10,5,19,2,10,42,192,"1,161458333333",158,79,79,35,22,13,18,12,6,198,69,129,5,80,57,23,1,125,58,67,0,160,55,105,4,10,563
76561198098071693,sl3nd,GamerLegion,123,42,8,2,0,15,1,2,27,128,"0,960937500000",90,44,46,18,12,6,10,7,3,102,32,70,0,44,26,18,0,80,36,44,1,84,20,64,1,2,310
76561198113666193,ZywOo,Team Vitality,252,91,10,9,1,20,2,9,70,157,"1,605095541401",165,71,94,34,19,15,19,8,11,215,89,126,1,59,33,26,0,135,53,82,1,157,69,88,2,4,566
