steam_id,user_name,kills,headshots,wallbang_kills,assisted_flashes,trade_kills,no_scope,through_smoke,airbone_kills,blind_kills,victim_blind_kills,team_clan_name,awp_kills,pistol_kills,assists,deaths,trade_deaths,kd,k_d_diff,adr_total,adr_ct_side,adr_t_side,kast_total,kast_ct_side,kast_t_side,total_rounds_won,t_rounds_won,ct_rounds_won,first_kills,ct_first_kills,t_first_kills,first_deaths,ct_first_deaths,t_first_deaths,flahes_thrown,ct_flahes_thrown,t_flahes_thrown,flahes_thrown_in_pistol_round,he_thrown,ct_he_thrown,t_he_thrown,he_thrown_in_pistol_round,infernos_thrown,ct_infernos_thrown,t_infernos_thrown,infernos_thrown_in_pistol_round,smokes_thrown,ct_smokes_thrown,t_smokes_thrown,smokes_thrown_in_pistol_round,util_in_pistol_round,total_util_thrown,total_util_dmg,ct_total_util_dmg,t_total_util_dmg
76561198799340122,degster,361,117,11,8,76,0,29,0,4,8,Team Falcons,152,59,71,288,70,1.25347222222,73,72.27272727273,74.10344827586,70.13004484305,0.77272727273,0.78160919540,0.76233183857,254,129,125,118,82,36,76,46,30,218,68,150,6,75,60,15,1,166,79,87,1,229,109,120,3,11,688,1066,590,476
76561198812513923,Wicadia,225,121,5,11,59,0,23,1,4,11,Aurora,22,28,69,223,62,1.00896860987,2,80.22364217252,77.91017964072,82.86986301370,0.71246006390,0.68862300000,0.73972602740,168,88,80,80,38,42,72,32,40,113,57,56,2,144,80,64,1,152,80,72,0,183,113,70,1,4,592,1621,1040,581
76561198838822582,Mzinho,279,179,7,8,81,0,24,0,7,8,The MongolZ,2,47,77,262,60,1.06488549618,17,72.50255102041,72.80423280423,72.22167487685,0.71683673469,0.73544973545,0.69950738916,196,96,100,78,40,38,68,26,42,213,93,120,0,148,84,64,1,182,95,87,2,260,114,146,0,3,803,1785,1269,516
76561198838822582,L take L,279,179,7,8,81,0,24,0,7,8,The MongolZ,2,47,77,262,60,1.06488549618,17,72.50255102041,72.80423280423,72.22167487685,0.71683673469,0.73544973545,0.69950738916,196,96,100,78,40,38,68,26,42,213,93,120,0,148,84,64,1,182,95,87,2,260,114,146,0,3,803,1785,1269,516
76561198850020186,latto,167,99,4,11,31,0,15,0,1,11,LEGACY,0,25,44,141,33,1.18439716312,26,78.42424242424,69.34905660377,86.12000000000,0.73160173160,0.76415094340,0.70400000000,113,49,64,36,18,18,48,16,32,147,55,92,5,110,57,53,0,141,66,75,0,142,66,76,3,8,540,1188,715,473
76561198920720017,Senzu,280,196,12,14,86,0,37,0,2,14,The MongolZ,5,47,94,268,72,1.04477611940,12,82.21173469388,81.75132275132,82.64039408867,0.76020408163,0.77777777778,0.74384236453,196,96,100,66,32,34,54,20,34,145,66,79,3,178,86,92,1,190,67,123,0,202,84,118,2,6,715,1414,718,696
76561198920720017,EVIL J0RDAN,280,196,12,14,86,0,37,0,2,14,The MongolZ,5,47,94,268,72,1.04477611940,12,82.21173469388,81.75132275132,82.64039408867,0.76020408163,0.77777777778,0.74384236453,196,96,100,66,32,34,54,20,34,145,66,79,3,178,86,92,1,190,67,123,0,202,84,118,2,6,715,1414,718,696
76561198959824088,bLitz,261,131,8,6,73,0,27,1,5,6,The MongolZ,5,42,98,285,62,0.91578947368,-24,78.36224489796,92.71428571429,65.00000000000,0.69897959184,0.74074074074,0.66009852217,196,96,100,76,66,10,88,36,52,274,103,171,14,207,113,94,1,202,88,114,2,230,74,156,10,27,913,2662,1740,922
76561198959824088,ianras,261,131,8,6,73,0,27,1,5,6,The MongolZ,5,42,98,285,62,0.9157894737,-24,78.3622449,92.71428571,65,0.6989795918,0.7407407407,0.6600985222,196,96,100,76,66,10,88,36,52,274,103,171,14,207,113,94,1,202,88,114,2,230,74,156,10,27,913,2662,1740,922
76561198966340160,Techno,200,110,3,13,61,0,19,0,4,13,The MongolZ,6,43,80,281,69,0.7117437722,-81,61.44132653,68.78306878,54.60591133,0.6326530612,0.6349206349,0.6305418719,196,96,100,70,44,26,114,52,62,114,47,67,2,166,86,80,0,238,122,116,0,263,155,108,2,4,781,2076,802,1274
76561198966340160,Mito,200,110,3,13,61,0,19,0,4,13,The MongolZ,6,43,80,281,69,0.7117437722,-81,61.44132653,68.78306878,54.60591133,0.6326530612,0.6349206349,0.6305418719,196,96,100,70,44,26,114,52,62,114,47,67,2,166,86,80,0,238,122,116,0,263,155,108,2,4,781,2076,802,1274
76561199009468655,ztr,144,62,4,9,44,0,11,4,3,9,GamerLegion,0,16,64,174,56,0.8275862069,-30,64.32539683,57.44537815,70.4812,0.7619047619,0.7478991597,0.7744360902,138,64,74,38,18,20,44,28,16,173,65,108,16,126,84,42,2,180,83,97,3,225,86,139,11,32,704,2200,1076,1124
76561199016206318,L1haNg,73,46,0,5,21,0,9,0,2,5,RARE ATOM,0,7,23,110,27,0.6636363636,-37,60.72789116,61.58974359,59.75362,0.5714285714,0.5641025641,0.5797101449,59,26,33,30,14,16,58,30,28,66,30,36,0,83,48,35,0,68,31,37,0,62,33,29,0,0,279,768,486,282
76561199163957904,deemO,123,67,7,6,42,0,20,2,1,6,paiN Gaming,0,17,54,187,54,0.6577540107,-64,55.88627451,53.99166667,57.57037037,0.6862745098,0.7083333333,0.6666666667,119,50,69,44,26,18,48,26,22,112,39,73,1,116,49,67,1,137,64,73,2,176,90,86,2,6,541,674,248,426
76561199203563345,910,276,102,12,9,80,0,32,0,3,9,The MongolZ,121,54,50,256,51,1.078125,20,71.31632653,73.8042328,69,0.7321428571,0.7777777778,0.6896551724,196,96,100,104,44,60,78,20,58,250,63,187,0,81,66,15,2,157,79,78,1,223,81,142,2,5,711,1584,855,729
76561199203563345,herworld,276,102,12,9,80,0,32,0,3,9,The MongolZ,121,54,50,256,51,1.078125,20,71.31632653,73.8042328,69,0.7321428571,0.7777777778,0.6896551724,196,96,100,104,44,60,78,20,58,250,63,187,0,81,66,15,2,157,79,78,1,223,81,142,2,5,711,1584,855,729
